description,requirements,benefits,fraudulent
"The Customer Service Associate will be based in Pittsburg, PA. The right candidate will be an integral part of our talented team, supporting our continued growth.Responsibilities:Operate mailing, copy or fax equipmentShipping &amp; ReceivingOrder supplies and update employee listsPick-up and deliver mail, parcels, copy jobs and faxes to customersLift large bundles of mail, overnight packages and shipments of paperHandle time-sensitive material like confidential, urgent packagesMaintain copier equipmentProvide courier &amp; messenger servicesMaintain the highest levels of customer care while demonstrating a friendly and cooperative attitudeDemonstrate flexibility in satisfying customer demands in a high volume, production environmentConsistently adhere to business procedure guidelinesTake direction from supervisor or site managerParticipate in cross-trainingMaintain all logs and reporting documentation; attention to detailAdhere to all safety proceduresPerform other tasks as assigned","Minimum Requirements:Minimum of 6 months customer service related experience requiredHigh school diploma or equivalent (GED) requiredPreferred Qualifications:Keyboarding and windows environment PC skills required (Word, Excel and PowerPoint preferred)Experience running mail posting equipment a plusExcellent communication skills both verbal and writtenLifting up to 55 lbs with or without accommodationsWillingness and availability to work additional hours if assignedWillingness to submit to a pre-employment drug screening and criminal background checkAbility to effectively work individually or in a team environmentCompetency in performing multiple functional tasksAbility to meet employer's attendance policyStanding for long periods of time",,0
"IC&amp;E Technician | Bakersfield, CA Mt. PosoPrincipal Duties and Responsibilities: Calibrates, tests, maintains, troubleshoots, and installs all power plant instrumentation, control systems and electrical equipment.Performs maintenance on motor control centers, motor operated valves, generators, excitation equipment and motors.Performs preventive, predictive and corrective maintenance on equipment, coordinating work with various team members.Designs and installs new equipment and/or system modifications.Troubleshoots and performs maintenance on DC backup power equipment, process controls, programmable logic controls (PLC), and emission monitoring equipment.Uses maintenance reporting system to record time and material use, problem identified and corrected, and further action required; provides complete history of maintenance on equipment.Schedule, coordinate, work with and monitor contractors on specific tasks, as required.Follows safe working practices at all times.Identifies safety hazards and recommends solutions.Follows environmental compliance work practices.Identifies environmental non-compliance problems and assist in implementing solutions.Assists other team members and works with all departments to support generating station in achieving their performance goals.Trains other team members in the areas of instrumentation, control, and electrical systems.Performs housekeeping assignments, as directed.Conduct equipment and system tagging according to company and plant rules and regulations.Perform equipment safety inspections, as required, and record results as appropriate. Participate in small construction projects.  Read and interpret drawings, sketches, prints, and specifications, as required.Orders parts as needed to affect maintenance and repair.Performs Operations tasks on an as-needed basis and other tasks as assigned.Available within a reasonable response time for emergency call-ins and overtime, plus provide acceptable off-hour contact by phone and company pager.          Excellent Verbal and Written Communications Skills:Ability to coordinate work activities with other team members on technical subjects across job families.Ability to work weekends, holidays, and rotating shifts, as required.","QualificationsKnowledge, Skills &amp; Abilities: A high school diploma or GED is required. Must have a valid driver’s license. Ability to read, write, and communicate effectively in English.  Good math skills. Four years of experience as an I&amp;C Technician and/or Electrician in a power plant environment, preferably with a strong electrical background, up to and including, voltages to 15 KV to provide the following:Demonstrated knowledge of electrical equipment, electronics, schematics, basics of chemistry and physics and controls and instrumentation.Demonstrated knowledge of safe work practices associated with a power plant environment.Demonstrated ability to calibrate I&amp;C systems and equipment, including analytic equipment.Demonstrated ability to configure and operate various test instruments and equipment, as necessary, to troubleshoot and repair plant equipment including, but not limited to, distributed control systems, programmable logic controllers, motor control centers, transformers, generators, and continuous emissions monitor (CEM) systems.Demonstrated ability to work with others in a team environment. ","BENEFITSWhat is offered:Competitive compensation package100% matched retirement fundAnnual vacations paid for by companySignificant bonus structureOpportunity for advancement Full benefits packageAnnual performance reviews and base salary increasesAnnual cost of living increases Sound, clean, safe and enjoyable working environment &amp; Company CultureWorld renound management and executive team who promote from within, leverage careers and invest in employees for the long-term success of their careers and overall company/employee goalsQualified candidates contact: Darren Lawson | VP of Recruiting | #EMAIL_395225df8eed70288fc67310349d63d49d5f2ca6bc14dbb5dcbf9296069ad88c# | #PHONE_70128aad0c118273b0c2198a08d528591b932924e165b6a8d1272a6f9e2763d1#   ",1
"Play with kids, get paid for it Love travel? Jobs in Asia$1,500+ USD monthly ($200 Cost of living)Housing provided (Private/Furnished)Airfare ReimbursedExcellent for student loans/credit cardsGabriel Adkins : #URL_ed9094c60184b8a4975333957f05be37e69d3cdb68decc9dd9a4242733cfd7f7##URL_75db76d58f7994c7db24e8998c2fc953ab9a20ea9ac948b217693963f78d2e6b#12 month contract : Apply today ",University degree required. TEFL / TESOL / CELTA or teaching experience preferred but not necessaryCanada/US passport holders only,See job description,0
"Play with kids, get paid for it.Vacancies in Asia$1500 USD + monthly ($200 Cost of living)Housing providedAirfare ReimbursedExcellent for student loans/credit cardsGabriel Adkins (#URL_ed9094c60184b8a4975333957f05be37e69d3cdb68decc9dd9a4242733cfd7f7#)#URL_75db76d58f7994c7db24e8998c2fc953ab9a20ea9ac948b217693963f78d2e6b#We are looking for friendly people. If you do not plan to take part in a 3-5 minute interview, kindly do not waste your time applying :-)","University degree required. TEFL / TESOL / CELTA, and/or teaching experience preferredCanada/US passport holders only",See job description,0
The group has raised a fund for the purchase of homes in the Southeast. The student on this project will help them build their investments from the ground up and will help with the analysis and modeling of their investments.  We should be looking for someone with a strong general finance skills and has a lot of entrepreneurial ability.,,,1
"establishing a detailed application specification through discussion;clarifying what actions the application is intended to perform;breaking down application specification into its simplest elements and translating this logic into a programming language;devising possible solutions to anticipated problems;working as part of a team, which may be established purely for a particular project, to write a specific section of the program;combining all elements of the program design and testing it;testing sample data-sets to check that output from the application works as intended;conducting testing and installing the application into production;reacting to problems and correcting the application as necessary;evaluating and increasing the applications's effectiveness;adapting the application to new requirements, as necessary;conducting user acceptance testing to ensure the application can be used easily, quickly and accurately;writing detailed documentation for the operation of the application by users and computer operators;consulting manuals, periodicals and technical reports to learn new ways to develop applications and maintain existing skills and knowledge;updating, repairing, modifying and developing existing software and generic applications.",C# .NETHTMLJavascript - JQueryBootstrapIISSQL ServerRequriment - Technical Analysis,Innovative solutions to developAttractive working environment,0
"We are seeking Registrar's in Psychiatry for a variety of locations throughout QLD,Vic,NSW,SA,Tas,WA.","At least 12 months experience at Registrar Level in Psychiatry.Registrar in Psychiatry Gold Coast QLD.Training Post Attractive lifestyle in sunny QLD Excellent clinical varietyThis is a 700 bed teaching hospital located in a metropolitan, coastal location of Queensland serving a population of 500,000 people.The Mental Health Service consists of inpatient, outpatient, and community teams. There are 124 inpatient beds in total: a 44 bed psychiatric unit with an ICU sub-unit, a 10 bed acute young adult unit, an 8 bed child and youth unit, a 16 bed aged care unit, a 59 bed extended care, rehabilitation and psycho geriatric unit.Some of the services include adult and child consultation/liaison services, an emergency psychiatric service, 2 adult and 2 child and adolescent community clinics, and a mobile intensive therapy team.They are currently seeking a psychiatry registrar/PHO to work as soon as possible for a period of 12 months. This mental health service is very supportive of the training requirements of overseas trained doctors.This large city is the fastest growing in Australia and is a thriving, popular international resort. It is well know for its year round warm and sunny weather, its beaches, its lively and diverse nightlife and booming tourist industry.Registrar in Psychiatry QLD Sunshine Coast.As a not-for-profit facility, The Private Hospital has reinvested $40 million over the last ten years to ensure that we provide the highest quality facilities for patient care. They have recently opened a new $10M facility for an integrated mental health service which now offers an exciting full time opportunity for a Psychiatric Registrar commencing February 2014. The Mental Health Service offers a state of the art architecturally designed 33 bed acute inpatient unit and an extensive group therapy program for the inpatient unit and a separate Day program.The clinical team includes the Director of Psychiatry, a group of Consultant Psychiatrists credentialed within the hospital, Mental Health Nurses, Clinical Psychologist and Exercise Physiologist, with provisions of Occupational Therapy, Social Work and Dietician services. The position will work collaboratively with all health professionals.The Psychiatry Registrar will provide a range of treatment interventions across all settings - inpatient, day patient and outpatient. This includes assessment and recovery planning, psychotherapy within group therapy programs, multidisciplinary team reviews, ECT, one on one patient care under the supervision of Director of Psychiatry and other credentialed Visiting Medical Practitioners. The position will be working regular hours (five days per week), with no after hours or on call duties.SMO Psychiatry West Australia.Health Service currently have an exciting opportunity for a Senior Medical Practitioner in Psychiatry to join the Medical Healthteam in the very beautiful lower South West region of WA. The lower South West service is based in Busselton but has smallerteams in Bridgetown and Margaret River, The upper south west service includes the local authorised 27 bed APU, and is basedin Bunbury.The successful applicant will work as part of a multidisciplinary team providing assessment and management of clients using aperson centred and integrated model of care. You will provide assessment and treatment to clients referred by local primarycare, hospitals and NGOs.You will also be rostered on after hours at Bunbury regional hospital, which includes all age groups. You will join a thrivingmedical group of seven Consultant Psychiatrists and another six Medical Officers, and participate in a weekly ContinuingMedical Education (CME) programme, as part of professional development.Salary as per Department of Health Medical Practitioners (WA Country Health Service) AMA Industrial Agreement 2013:Full Time (80 hours per fortnight), Fixed Term (part-time prorata)Senior Medical Practitioner Year 1-3 $265,847 - $282,816pa**includes base salary $165,555 - $182,524, professional development allowance $27,281 and an allowance in lieu of PrivatePractice $73,011. Rates effective as 1st Oct 2013.In addition (in line with operational requirements), 9.25% employer contributed superannuation, access to salary packaging up to$19,000 pa, professional development opportunities and study leave/assistance, and flexible leave arrangements apply to thisposition.Psychiatry Senior Registrar Qld.The Mental Health Service consists of inpatient, outpatient, and community teams. There are 124 inpatient beds in total: a 44 bed psychiatric unit with an ICU sub-unit, a 10 bed acute young adult unit, an 8 bed child and youth unit, a 16 bed aged care unit, a 59 bed extended care, rehabilitation and psycho geriatric unit.Some of the services include adult and child consultation/liaison services, an emergency psychiatric service, 2 adult and 2 child and adolescent community clinics, and a mobile intensive therapy team.They are currently seeking a Senior Psychiatry registrar to work as soon as possible for a period of 12 months. This mental health service is very supportive of the training requirements of overseas trained doctors.The position will be a remote position that is based in Cairns with usually alternate weeks fly-in fly-out clinincs across a number of communities (this is accredited for FRANZCP training)This city is one of the fastest growing in Australia and is a thriving, popular international resort. It is well know for its year round warm and sunny weather, its beaches, its lively and diverse nightlife and booming tourist industry.Tasmania:We have 2 Basic Psychiatry Registrar positions vacant for a period of 6 months, to commence ASAP.The positions vacant are in Older Persons Mental Health Services and in Forensic Mental Health Services. Both positions are accredited positions.If you are interested in entering the training program in Forensic or Older Persons Mental Health Services please apply.Please note we are interested only in candidates that are currently registered with AHPRA and can start work immediately.With over 10 years experience in the medical recruitment business, Ramberg Associates will ensure that your application process is dealt with in a timely manner, adhering to the highest ethical and professional standards.Please contact us on +61 2 80363182 or apply below.",Great Training and Salarys on offer.,0
"Technician Instrument &amp; ControlsLocation Deweyville, TXLocation Name: NRG Cottonwood EnergyCategory: MaintenanceState/City: US-TX-DeweyvilleType: Full Time Hourly# Openings: 1Details About this Career Opportunity:Overview:Company Profile:We deliver cleaner and smarter energy choices for our customers, backed by the nation’s largest independent power generation portfolio of fossil fuel, nuclear, solar and wind facilities. A Fortune 500 company is challenging the U.S. energy industry by becoming the largest developer of solar power, building the first privately-funded electric vehicle charging infrastructure, and providing customers with the most advanced smart energy solutions to better manage their energy use. In addition to 47,000 megawatts of generation capacity, enough to supply nearly 40 million homes, our retail electricity providers serve more than two million customers.GENERAL SUMMARYThe Instrumentation Controls and Electrical Technician (IC&amp;E) is responsible for the maintenance and repair of all instruments, control systems and electrical equipment in the power plant and the associated facilities. The IC&amp;E Technician performs work of high skill in the inspection repair, testing, adjustment, installation and removal of all electronic and electrical power plant equipment and systems.PRIMARY FUNCTIONS-Safely perform preventive and corrective maintenance on all plant equipment, systems, and emergency backup systems.-Maintain complete equipment files, logs, and drawings for all designated equipment.-Assist in maintaining and controlling spare parts inventory to maintain plant reliability. Assist in physical inventories.-Participate in the administrative maintenance of the plant operating manuals, technical references, prints and diagrams and preventive/predictive maintenance records.-Inspect repair, install and remove all types of motors, generators, transformers, switches, control equipment, wiring, electrical signal and communication systems, and storage batteries, and work with electrical systems up to and including 4160 volts.-Conduct trouble shooting and analysis on DCS, PLC and GE Mark VI turbine control equipment.-Maintain all plant instrumentation and electrical test equipment.-Fully support and participate in NAES Safety and Regulatory Compliance Programs.-Complete other tasks as assigned by the Maintenance Manager or the Plant Manager.SCOPE OF RESPONSIBILITYThe IC&amp;E Technician operates from established and well-known procedures under minimum supervision, performing duties independently with only general direction given. Decisions are made within prescribed operating and casualty procedures and guidelines. The ICE Technician encounters recurring work situations of high complexity, with occasional variations from the norm.The IC&amp;E Technician must perform work in a safe manner resulting in no accidents, in compliance with all environmental permits at all times. The ICE Technician must effectively communicate information to supervision and fellow plant personnel, relative to the condition of the plant equipment and performance, and provide suggestions for plant improvements. The ICE Technician must perform duties in such a way to result in an optimum cost-benefit ratio.The IC&amp;E Technician may also be assigned the additional responsibility of Maintenance Coordinator/Planner for the site. This is a collateral assignment given to a selected maintenance department technician to assist the Operations and Maintenance Manager with the routine planning and coordination of the site equipment maintenance.The duties include:-The planning and review of the preventative, predictive and pro-active type maintenance.-A more in-depth knowledge and ability to use the CMMS system to provide the necessary review and planning to support the O&amp;M Manager in weekly work routines.-Ability to provide the cognitive coordinated efforts necessary to ensure that weekly routines and preventative maintenance are scheduled and documented as complete when the respective maintenance technician indicates that the work has been performed.-Provide the coordination efforts necessary in support of allowing the O&amp;M Manager to provide the necessary supervision and direction of the maintenance technicians.All employees have the responsibility to both the customer and their co-workers to do the job right the first time and to ensure the customers' needs are being met.","JOB QUALIFICATIONS-Ability to understand procedures and instructions specific to the area of assignment as would be acquired in four years of high school.-Graduation from an accredited Instrument Technician Program and minimum two years’ work experience as a technician in a related industry desirable.-Four years work experience as a technician with increasing responsibility in a related industry may be substituted for the above requirement.-Experience in working with voltages up to 4160 volts highly desirable.-Must have excellent oral and written communication skills. Ability to work well with others and be self-directed, as well as apply creative solutions to unique I&amp;E problems is desirable.-Must be able to work from blueprints.-Must be skilled in the use of hand and power driven tools.-Must be proficient in computers and computer software such as MS Office, Excel, and Word; Networking, hardware, and current security requirements for NERC Compliance.Qualifications:Title/Salary Commensurate on ExperienceOfficial description on file with Human Resources","we are a team of almost 8,000 employees who help power almost 40 million homes and have more than 2 million residential and business customers across the country. Together, we are powering progress every day—from California to Texas and New Jersey to Arizona.",1
"We are currently recruiting for an exciting Sales &amp; Customer Service role. We are looking for someone with a passion for sales, beauty and fragrance who is enthusiastic and driven.The ideal candidates will have the ability to demonstrate a fresh approach to sales and be able to work in a fast paced and versatile environment.If you are looking to build your career in Beauty, Promotional work, Sales and Customer Service apply now.The role would suit anyone with the following experience:* Great communication skills* Positive attitude* Be able to hit targets and achieve goals* Be able to work in a customer facing role* The ability to build and maintain strong relationships with clients and customers* Beauty training or make up artisty* Fragrance or cosmetic counter experienceFull product training will be available to all successful candidates.Please click on the link below to apply directlyhttps://b4.#URL_c050d78cefc5b9fd74edaf55bf1e65eb99b3be8c37df0cbef9b053604be1ce85#?AppKey=0e11200093d4b79c99574dd8af67",Experience in Sales and Beauty.,Bonuses may be given.,0
"The Customer Service Associate will be based in Edmonton, Alberta. The right candidate will be an integral part of our talented team, supporting our continued growth.Responsibilities:Ability to learn and provide back-up in Print Services, Receiving and Mail. Perform various Mail Center activities (sorting, metering, folding, inserting, delivery, pickup, etc.)Lift heavy boxes, files or paper when neededMaintain the highest levels of customer care while demonstrating a friendly and cooperative attitudeDemonstrate flexibility in satisfying customer demands in a high volume, production environmentConsistently adhere to business procedure guidelinesAdhere to all safety proceduresTake direction from supervisor or site managerMaintain all logs and reporting documentation; attention to detailParticipate in cross-training and perform other duties as assigned (Filing, outgoing shipments, etc)Operating mailing, copy or scanning equipmentShipping &amp; ReceivingHandle time-sensitive material like confidential, urgent packagesPerform other tasks as assignedScanning incoming mail to recipientsPerform file purges and pullsCreate files and ship filesProvide backfill when neededEnter information daily into spreadsheetsIdentify charges and match them to billingSort and deliver mail, small packages","Minimum Requirements:Minimum of 6 months customer service related experience requiredHigh school diploma or equivalent (GED) requiredPreferred Qualifications:Copy Center or Print experience is a plusKeyboarding and windows environment PC skills required (Word, Excel and PowerPoint preferred)Experience running mail posting equipment a plusExcellent communication skills both verbal and writtenLifting up to 55 lbs with or without accommodationsWillingness and availability to work additional hours if assignedWillingness to submit to a pre-employment drug screening and criminal background checkAbility to effectively work individually or in a team environmentCompetency in performing multiple functional tasksAbility to meet employer's attendance policy",,0
